code,min.sec,lat,lon,dist,yaw,roll,pitch,yaw_to_goal,motor_left,motor_right,stack,seq,data,latitude,longitude
9,0.4,0,0,244,247.5,0,0,0,0,0,0,1,173.4 altNRdy,0,0
9,0.4,0,0,244,146.25,0,0,0,0,0,0,1,170.6 altNRdy,0,0
9,0.5,0,0,15,146.25,0,0,0,0,0,0,1,170.6 altNRdy,0,0
9,0.6,0,0,3,146.25,0,0,0,0,0,0,1,170.6 altNRdy,0,0
9,0.7,0,0,21,146.25,0,0,0,0,0,0,1,170.6 altNRdy,0,0
9,0.8,0,0,15,146.25,0,0,0,0,0,0,1,170.6 altNRdy,0,0
9,0.9,0,0,217,146.25,0,0,0,0,0,0,1,170.6 altNRdy,0,0
9,0.1,0,0,196,146.25,0,0,0,0,0,0,1,170.6 altNRdy,0,0
9,0.11,0,0,95,146.25,0,0,0,0,0,0,1,170.6 altNRdy,0,0
9,0.12,0,0,2,146.25,0,0,0,0,0,0,1,170.6 altNRdy,0,0
9,0.13,0,0,28,146.25,0,0,0,0,0,0,1,170.6 altNRdy,0,0
9,0.15,0,0,187,146.25,0,0,0,0,0,0,1,170.6 altNRdy,0,0
9,0.16,0,0,63,146.25,0,0,0,0,0,0,1,170.6 altNRdy,0,0
9,0.17,0,0,28,146.25,0,0,0,0,0,0,1,170.6 altNRdy,0,0
9,0.18,0,0,218,146.25,0,0,0,0,0,0,1,170.6 altNRdy,0,0
9,0.19,0,0,133,146.25,0,0,0,0,0,0,1,170.6 altNRdy,0,0
9,0.2,0,0,107,146.25,0,0,0,0,0,0,1,170.6 altNRdy,0,0
9,0.21,0,0,62,146.25,0,0,0,0,0,0,1,170.6 altNRdy,0,0
9,0.22,0,0,120,67.5,0,0,0,0,0,0,1,170.6 altNRdy,0,0
9,0.23,0,0,141,101.25,0,0,0,0,0,0,1,170.6 altNRdy,0,0
9,0.24,0,0,247,78.75,0,0,0,0,0,0,1,170.6 altNRdy,0,0
9,0.25,0,0,230,78.75,0,0,0,0,0,0,1,172.4 c5 Rise,0,0
9,0.26,0,0,114,90,0,0,0,0,0,0,1,172.4 c5 Rise,0,0
9,0.27,0,0,178,90,0,0,0,0,0,0,1,172.4 c5 Rise,0,0
9,0.28,0,0,181,90,0,0,0,0,0,0,1,172.4 c5 Rise,0,0
9,0.29,0,0,234,67.5,0,0,0,0,0,0,1,171.0 c5 Fall,0,0
9,0.3,0,0,72,135,0,0,0,0,0,0,1,171.0 c5 Fall,0,0
9,0.31,0,0,198,146.25,0,0,0,0,0,0,1,171.0 c5 Fall,0,0
9,0.32,0,0,95,146.25,0,0,0,0,0,0,1,171.0 c5 Fall,0,0
9,0.33,0,0,12,146.25,0,0,0,0,0,0,6,0.1 s0.01 a -0 L,0,0
9,0.34,0,0,201,56.25,0,0,0,0,0,0,6,NC 1 Heata -0 L,0,0
9,0.35,0,0,148,348.75,11.2,0,0,0,0,0,6,NC 3 Heata -0 L,0,0
9,0.36,0,0,106,348.75,11.2,0,0,0,0,0,6,NC 5 Heata -0 L,0,0
9,0.37,0,0,72,348.75,11.2,0,0,0,0,0,2,NC 0 Donea -0 L,0,0
9,0.38,0,0,44,270,11.2,0,0,0,0,0,2,NC 0 Donea -0 L,0,0
9,0.39,0,0,23,213.75,11.2,0,0,0,0,0,2,NC 0 Donea -0 L,0,0
9,0.41,0,0,5,213.75,11.2,0,0,0,0,0,2,NC 0 Donea -0 L,0,0
9,0.42,0,0,247,202.5,11.2,0,0,0,0,0,2,NC 0 Donea -0 L,0,0
9,0.43,0,0,236,202.5,11.2,0,0,0,0,0,2,NC 0 Donea -0 L,0,0
9,0.44,0,0,227,202.5,11.2,0,0,0,0,0,2,NC 0 Donea -0 L,0,0
9,0.45,0,0,220,202.5,11.2,0,0,0,0,0,2,NC 0 Donea -0 L,0,0
9,0.46,0,0,214,202.5,11.2,0,0,0,0,0,2,NC 0 Donea -0 L,0,0
9,0.47,0,0,210,202.5,11.2,0,0,0,0,0,2,NC 0 Donea -0 L,0,0
9,0.48,0,0,206,202.5,11.2,0,0,0,0,0,2,NC 0 Donea -0 L,0,0
9,0.49,0,0,203,202.5,11.2,0,0,0,0,0,2,NC 0 Donea -0 L,0,0
9,0.5,0,0,201,202.5,11.2,0,0,0,0,0,2,NC 0 Donea -0 L,0,0
9,0.51,0,0,199,202.5,11.2,0,0,0,0,0,2,NC 0 Donea -0 L,0,0
9,0.52,0,0,197,202.5,11.2,0,0,0,0,0,2,NC 0 Donea -0 L,0,0
